"mes","recaudo","cartera_total","collection_rate"
2022-01-01,97.1976217672389,200,48.5988108836195
2022-02-01,100.563398266869,200,50.2816991334347
2022-03-01,111.222112999317,200,55.6110564996585
2022-04-01,105.49539909998,200,52.74769954999
2022-05-01,107.503581532948,200,53.7517907664738
2022-06-01,117.146753505845,200,58.5733767529225
2022-07-01,152.59029531566,200,76.2951476578301
2022-08-01,105.674693826967,200,52.8373469134837
2022-09-01,110.280021454818,200,55.140010727409
2022-10-01,113.200261578072,200,56.6001307890358
2022-11-01,123.263266130054,200,61.6316330650272
2022-12-01,120.65621199243,200,60.3281059962148
2023-01-01,122.575285824399,200,61.2876429121994
2023-02-01,122.83912786544,200,61.4195639327199
2023-03-01,121.22079432623,200,60.6103971631148
2023-04-01,134.648851398301,200,67.3244256991506
2023-05-01,129.917823819718,200,64.9589119098588
2023-06-01,119.309771359709,200,59.6548856798545
2023-07-01,174.363922364961,200,87.1819611824806
2023-08-01,130.207471532789,200,65.1037357663944
2023-09-01,128.94659575578,200,64.47329787789
2023-10-01,134.910125426709,200,67.4550627133543
2023-11-01,132.58426347275,200,66.2921317363748
2023-12-01,135.784115282116,200,67.8920576410579
2024-01-01,138.017660803611,200,69.0088304018054
2024-02-01,134.423676303431,200,67.2118381517154
2024-03-01,148.760363793901,200,74.3801818969506
2024-04-01,147.052579874897,200,73.5262899374484
2024-05-01,142.30931531494,200,71.1546576574701
2024-06-01,155.983360319635,200,77.9916801598177
2024-07-01,193.560892535955,200,96.7804462679777
2024-08-01,151.667499727896,200,75.8337498639479
2024-09-01,159.332771162368,200,79.666385581184
2024-10-01,160.962096009094,200,80.4810480045469
2024-11-01,162.393619693902,200,81.1968098469509
2024-12-01,163.4432012705,200,81.7216006352502
